component_name,count
"3G2,5",21
Part1.sat,1
Part2.sat,1
Part3.sat,1
brandmelder,15
cai aansluiting,3
contactdoos 4-voudig,6
lasdoos AK2,9
ledige leiding,12
schakelaar enkelpolig,18
schakelaar enkelpolig tek,3
standaard,39
wcd enkelvoudig,8
wcd inbouw tweevoudig,21
wcd inbouw tweevoudig USB,12
wcd opbouw enkelvoudig,6
