room_id;room_name;area_m2;component_type;component_id;object_type;x_m;y_m;z_m;x_norm;y_norm;z_norm
1S$f5UJPL6lvvbafDPKexJ;0.12d;10.153865312501335;socket;39TNNt2NLD$gJb58MtKdIn;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;13.288999999999804;8.788829521679828;0.2750000000000001;0.999999999999927;0.5483294778674617;0.10185185185185187
1S$f5UJPL6lvvbafDPKexJ;0.12d;10.153865312501335;socket;39TNNt2NLD$gJb58MtKdJq;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk_hor:wcd inbouw tweevoudig;10.615876845866305;7.756072900138308;0.2750000000000001;6.905274928223995e-07;0.2764440963901987;0.10185185185185187
1S$f5UJPL6lvvbafDPKexJ;0.12d;10.153865312501335;socket;39TNNt2NLD$gJb58MtKdJt;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk_hor:wcd inbouw tweevoudig;10.545876845866305;7.282822900138409;0.2750000000000001;-0.026185888850576034;0.1518554429744194;0.10185185185185187
1S$f5UJPL6lvvbafDPKexJ;0.12d;10.153865312501335;socket;3GvW2Im$P22xEgM773_lKg;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;10.615874999999704;7.446020487513148;0.2750000000000001;-1.1097557808925581e-13;0.19481913584653152;0.10185185185185187
1S$f5UJPL6lvvbafDPKexp;0.12a;17.171209999999984;lamp;20awYkbFLD5eOZMhSj_Emc;63_LF_Sylvania Start Pael 600x600 3200LM 840 LILO:S22;18.153999999999805;9.692322900141809;2.375;0.49999999999993194;0.4991346983355856;0.8796296296296295
1S$f5UJPL6lvvbafDPKexp;0.12a;17.171209999999984;lamp;20awYkbFLD5eOZMhSj_Emq;63_LF_Sylvania Start Pael 600x600 3200LM 840 LILO:S22;18.153999999999805;11.492322900141989;2.375;0.49999999999993194;0.7999871135119487;0.8796296296296295
1S$f5UJPL6lvvbafDPKexp;0.12a;17.171209999999984;lamp;20awYkbFLD5eOZMhSj_Emz;63_LF_Sylvania Start Pael 600x600 3200LM 840 LILO:S22;18.153999999999805;7.892322900141949;2.375;0.49999999999993194;0.19828228315927598;0.8796296296296295
1S$f5UJPL6lvvbafDPKexp;0.12a;17.171209999999984;socket;0cr5v9z6r6te8sszDMqjWa;63_LF_Wieland_contactdoos:contactdoos 4-voudig;18.692009935268903;10.815845538581689;2.575;0.6874599077591999;0.6869205312688766;0.9537037037037037
1S$f5UJPL6lvvbafDPKexp;0.12a;17.171209999999984;socket;0tEKsIdQr1R8AhS2rK$Vyy;62_EF_wcd_inbouw_enkelvoudig2:wcd enkelvoudig;19.593400000000205;10.378572900142288;2.075;1.001533101045368;0.6138346816216426;0.7685185185185185
1S$f5UJPL6lvvbafDPKexp;0.12a;17.171209999999984;socket;0tEKsIdQr1R8AhS2rK$Vy$;62_EF_wcd_inbouw_enkelvoudig2:wcd enkelvoudig;19.584400000000006;10.368572900142288;0.6250000000000001;0.9983972125435565;0.6121632793151075;0.2314814814814815
1S$f5UJPL6lvvbafDPKexp;0.12a;17.171209999999984;socket;0tEKsIdQr1R8AhS2rK$Vy_;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk:wcd inbouw tweevoudig;19.589999999999804;9.758572900142289;1.225;1.0003484320556815;0.5102077386164614;0.4537037037037037
