room_id;room_name;room_length;room_width;room_height;lamp_id;lamp_name;x;y;z;x_norm;y_norm;z_norm
37VWGMOVT9FOlS6Zj$wGJ6;1.07b;2.647499999999674;2.189;2.7000000000000006;3m6XRktkL8NeqJIttZ9Hni;63_LF_Trilux Aviella C07 OA 2000-830:TR1:3337119;21.526;24.089000000000002;5.6450000000000005;0.4976392823403832;0.502512562814071;0.8962962962962963
37VWGMOVT9FOlS6Zj$wGJ6;1.07b;2.647499999999674;2.189;2.7000000000000006;3m6XRktkL8NeqJIttZ9Hn3;63_lf_Thorneco ELSA LED 600 1200 WH:TH1:3337136;22.296162591222203;25.178;5.495;0.7885411109418176;1.0;0.8407407407407406
37VWGMOVT9FOlS6Zj$wGJ7;1.08b;2.647499999999674;2.189;2.7000000000000006;3r97wE4UX5pR$O4kvnj9F1;63_LF_Trilux Aviella C07 OA 2000-830:TR1:3333180;21.526;30.689;5.6450000000000005;0.4976392823403456;0.5025125628140694;0.8962962962962963
37VWGMOVT9FOlS6Zj$wGJ7;1.08b;2.647499999999674;2.189;2.7000000000000006;3r97wE4UX5pR$O4kvnj9Ej;63_lf_Thorneco ELSA LED 600 1200 WH:TH1:3333200;22.296162591222203;31.778000000000002;5.495;0.78854111094178;1.0;0.8407407407407406
37VWGMOVT9FOlS6Zj$wGJ0;1.09b;2.6474999999996633;2.189;2.7000000000000006;3nN31SFfz2JOE2lpzsqrbR;64_DD_ledige leiding:ledige leiding:3335607;22.606;36.2060840419029;4.745;0.905571293671845;0.007804496072589171;0.5629629629629629
37VWGMOVT9FOlS6Zj$wGJ0;1.09b;2.6474999999996633;2.189;2.7000000000000006;3nN31SFfz2JOE2lpzsqrbK;63_LF_Trilux Aviella C07 OA 2000-830:TR1:3335608;21.526;37.289;5.6450000000000005;0.4976392823403476;0.502512562814071;0.8962962962962963
37VWGMOVT9FOlS6Zj$wGJ0;1.09b;2.6474999999996633;2.189;2.7000000000000006;3nN31SFfz2JOE2lpzsqrab;63_lf_Thorneco ELSA LED 600 1200 WH:TH1:3335625;22.296162591222203;38.378;5.495;0.7885411109417831;1.0;0.8407407407407406
37VWGMOVT9FOlS6Zj$wGJ1;1.10b;2.647499999999674;2.188500000000012;2.7000000000000006;1zKITG9c55a8VntybRzkmZ;64_DD_ledige leiding:ledige leiding:3335989;22.606;42.789249999999896;4.745;0.9055712936718413;0.00011423349326076873;0.5629629629629629
37VWGMOVT9FOlS6Zj$wGJ1;1.10b;2.647499999999674;2.188500000000012;2.7000000000000006;1zKITG9c55a8VntybRzkmW;63_LF_Trilux Aviella C07 OA 2000-830:TR1:3335990;21.526;43.889;5.6450000000000005;0.4976392823403456;0.5026273703450318;0.8962962962962963
37VWGMOVT9FOlS6Zj$wGJ2;1.11b;2.6474999999997983;2.1605000000059675;2.7000000000000006;1zKITG9c55a8VntybRzk40;64_DD_ledige leiding:ledige leiding:3336726;22.606;49.3892499999999;4.745;0.9055712936718725;0.00011571395509335196;0.5629629629629629
